OrderID,UserID,RoomID,CheckIn,CheckOut,Status,Amount
5780,93,25,2024-06-16,2024-06-17,Completed,952
3318,42,33,2024-06-16,2024-06-17,Pending,351
4846,44,4,2024-06-16,2024-06-17,Completed,706
1021,83,6,2024-06-16,2024-06-17,Pending,912
5464,78,40,2024-06-16,2024-06-17,Cancelled,481
8842,79,17,2024-06-16,2024-06-17,Completed,681
7562,83,30,2024-06-16,2024-06-17,Completed,874
5654,41,29,2024-06-16,2024-06-17,Pending,108
4089,50,28,2024-06-17,2024-06-18,Completed,308
1260,89,28,2024-06-17,2024-06-18,Completed,179
8410,84,2,2024-06-17,2024-06-18,Cancelled,768
1956,10,34,2024-06-17,2024-06-18,Pending,145
2823,60,36,2024-06-17,2024-06-18,Completed,479
1692,60,32,2024-06-17,2024-06-18,Pending,273
1337,87,1,2024-06-17,2024-06-18,Completed,599
4734,56,3,2024-06-17,2024-06-18,Cancelled,650
2781,68,9,2024-06-17,2024-06-18,Pending,902
2035,33,32,2024-06-18,2024-06-19,Pending,659
5978,48,35,2024-06-18,2024-06-19,Cancelled,805
3563,41,5,2024-06-18,2024-06-19,Pending,386
7529,32,35,2024-06-18,2024-06-19,Completed,130
8652,45,34,2024-06-18,2024-06-19,Cancelled,777
4027,4,28,2024-06-18,2024-06-19,Completed,510
4494,79,48,2024-06-18,2024-06-19,Cancelled,770
8375,63,14,2024-06-18,2024-06-19,Cancelled,361
3243,81,23,2024-06-18,2024-06-19,Cancelled,585
1492,53,28,2024-06-19,2024-06-20,Cancelled,534
6112,92,5,2024-06-19,2024-06-20,Completed,413
9510,63,30,2024-06-19,2024-06-20,Pending,359
7095,13,34,2024-06-19,2024-06-20,Pending,802
3964,39,34,2024-06-19,2024-06-20,Cancelled,462
9022,63,27,2024-06-19,2024-06-20,Completed,328
6262,71,34,2024-06-19,2024-06-20,Completed,394
6341,52,11,2024-06-19,2024-06-20,Cancelled,834
3234,75,34,2024-06-19,2024-06-20,Pending,399
9971,69,42,2024-06-20,2024-06-21,Pending,923
4433,88,48,2024-06-20,2024-06-21,Pending,467
3243,100,28,2024-06-20,2024-06-21,Pending,546
3461,93,10,2024-06-20,2024-06-21,Pending,679
3855,6,21,2024-06-20,2024-06-21,Completed,683
4736,85,3,2024-06-20,2024-06-21,Pending,579
1490,39,44,2024-06-20,2024-06-21,Pending,658
1812,95,15,2024-06-20,2024-06-21,Pending,793
5823,49,39,2024-06-20,2024-06-21,Completed,865
9409,33,25,2024-06-21,2024-06-22,Completed,572
1385,88,43,2024-06-21,2024-06-22,Pending,683
9264,36,43,2024-06-21,2024-06-22,Completed,181
4990,30,46,2024-06-21,2024-06-22,Completed,405
9455,9,35,2024-06-21,2024-06-22,Pending,125
3328,90,46,2024-06-21,2024-06-22,Completed,373
1070,100,37,2024-06-21,2024-06-22,Completed,693
4844,90,10,2024-06-21,2024-06-22,Completed,938
8732,6,20,2024-06-21,2024-06-22,Pending,911
7019,62,48,2024-06-22,2024-06-23,Pending,268
7668,93,31,2024-06-22,2024-06-23,Cancelled,364
4334,34,46,2024-06-22,2024-06-23,Completed,594
6164,11,6,2024-06-22,2024-06-23,Cancelled,574
6939,49,2,2024-06-22,2024-06-23,Completed,594
9098,41,4,2024-06-22,2024-06-23,Completed,252
7465,54,46,2024-06-22,2024-06-23,Completed,765
4503,42,48,2024-06-22,2024-06-23,Cancelled,132
7220,24,43,2024-06-22,2024-06-23,Completed,612
3239,75,34,2024-06-23,2024-06-24,Cancelled,597
8163,67,9,2024-06-23,2024-06-24,Completed,279
2744,96,23,2024-06-23,2024-06-24,Pending,427
3676,100,42,2024-06-23,2024-06-24,Cancelled,879
5904,12,29,2024-06-23,2024-06-24,Cancelled,763
1014,60,45,2024-06-23,2024-06-24,Completed,165
9712,36,20,2024-06-23,2024-06-24,Cancelled,386
5497,36,5,2024-06-23,2024-06-24,Pending,874
2706,21,5,2024-06-23,2024-06-24,Pending,887
7511,62,18,2024-06-24,2024-06-25,Completed,342
7646,38,2,2024-06-24,2024-06-25,Cancelled,374
1376,43,9,2024-06-24,2024-06-25,Completed,146
7958,15,48,2024-06-24,2024-06-25,Cancelled,469
6646,39,45,2024-06-24,2024-06-25,Completed,384
9162,7,48,2024-06-24,2024-06-25,Pending,624
9643,67,38,2024-06-24,2024-06-25,Completed,362
7130,33,2,2024-06-24,2024-06-25,Cancelled,488
3298,59,41,2024-06-24,2024-06-25,Completed,584
4325,61,2,2024-06-25,2024-06-26,Pending,639
8250,40,10,2024-06-25,2024-06-26,Completed,662
8696,19,13,2024-06-25,2024-06-26,Completed,700
8372,99,29,2024-06-25,2024-06-26,Cancelled,125
7789,8,35,2024-06-25,2024-06-26,Cancelled,514
9699,34,22,2024-06-25,2024-06-26,Completed,498
9979,36,5,2024-06-25,2024-06-26,Completed,244
5280,42,45,2024-06-25,2024-06-26,Cancelled,370
3916,8,41,2024-06-25,2024-06-26,Cancelled,826
5056,4,22,2024-06-26,2024-06-27,Pending,805
4217,31,44,2024-06-26,2024-06-27,Cancelled,710
4075,33,38,2024-06-26,2024-06-27,Cancelled,185
1472,64,37,2024-06-26,2024-06-27,Completed,654
4219,68,1,2024-06-26,2024-06-27,Completed,693
1873,52,49,2024-06-26,2024-06-27,Cancelled,866
1470,26,49,2024-06-26,2024-06-27,Pending,656
5642,28,23,2024-06-26,2024-06-27,Completed,709
5618,9,15,2024-06-26,2024-06-27,Completed,847
2635,27,9,2024-06-27,2024-06-28,Cancelled,744
6432,13,29,2024-06-27,2024-06-28,Pending,592
3860,10,26,2024-06-27,2024-06-28,Cancelled,205
5664,68,45,2024-06-27,2024-06-28,Cancelled,920
9462,98,10,2024-06-27,2024-06-28,Completed,546
4843,21,14,2024-06-27,2024-06-28,Cancelled,279
7168,98,32,2024-06-27,2024-06-28,Completed,576
5490,91,12,2024-06-27,2024-06-28,Pending,588
7717,15,30,2024-06-27,2024-06-28,Pending,240
7904,14,43,2024-06-28,2024-06-29,Pending,854
3763,8,7,2024-06-28,2024-06-29,Completed,523
7344,95,34,2024-06-28,2024-06-29,Pending,899
8889,51,27,2024-06-28,2024-06-29,Completed,591
1871,27,34,2024-06-28,2024-06-29,Completed,864
6164,78,24,2024-06-28,2024-06-29,Cancelled,220
5320,61,11,2024-06-28,2024-06-29,Pending,439
3079,12,24,2024-06-28,2024-06-29,Pending,174
5867,96,10,2024-06-28,2024-06-29,Cancelled,979
3196,87,45,2024-06-29,2024-06-30,Pending,522
1646,89,36,2024-06-29,2024-06-30,Completed,508
1049,68,5,2024-06-29,2024-06-30,Cancelled,915
9562,8,38,2024-06-29,2024-06-30,Completed,768
8468,48,9,2024-06-29,2024-06-30,Pending,382
9763,78,42,2024-06-29,2024-06-30,Pending,570
7255,94,31,2024-06-29,2024-06-30,Pending,404
9518,81,8,2024-06-29,2024-06-30,Cancelled,509
9924,93,14,2024-06-29,2024-06-30,Completed,480
4807,97,26,2024-06-30,2024-07-01,Cancelled,406
3988,25,6,2024-06-30,2024-07-01,Pending,587
6183,94,29,2024-06-30,2024-07-01,Completed,933
2034,31,45,2024-06-30,2024-07-01,Completed,261
5269,71,21,2024-06-30,2024-07-01,Completed,920
2430,60,40,2024-06-30,2024-07-01,Cancelled,374
1158,94,15,2024-06-30,2024-07-01,Completed,497
6688,68,27,2024-06-30,2024-07-01,Cancelled,190
6137,31,50,2024-06-30,2024-07-01,Pending,858
